ristretto plugin loaded
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:455 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:479 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:494 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:503 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:514 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:551 MODIFIER_NOT_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:551 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:551 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:602 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:602 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:632 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:408 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:411 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:413 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:435 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:456 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:459 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:461 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:483 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:555 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:566 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:604 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:612 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:613 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:617 MODIFIER_ADDED
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:400 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:407 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:431 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:446 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:455 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:479 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:494 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:503 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:514 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:551 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Ascii.java:602 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:113 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:115 MODIFIER_ADDED
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:113 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:120 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:128 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/StandardSystemProperty.java:134 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:95 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:96 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:97 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:98 MODIFIER_NOT_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:114 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:132 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:140 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:211 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:239 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:261 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:175 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:230 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:232 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:233 MODIFIER_ADDED
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:95 MODIFIER_ALREADY_PRESENT
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:96 MODIFIER_ALREADY_PRESENT
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:97 MODIFIER_ALREADY_PRESENT
DefaultFieldAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:98 MODIFIER_ALREADY_PRESENT
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:105 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:114 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:123 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:132 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:136 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:140 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:148 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:159 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:174 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:188 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:211 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:223 MODIFIER_ADDED
DefaultMethodAccessRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/Stopwatch.java:229 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:145 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:146 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:147 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:148 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:384 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:385 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:386 MODIFIER_NOT_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:58 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/MoreObjects.java:58 MODIFIER_ADDED
